document_id,clean_text,sentiment
1,nisei femal born may selleck washington spent much childhood beaverton oregon father own farm influenc earli,positive
2,nisei male born june seattl washington grew area seattl japanes american attend,neutral
3,nisei femal born octob seattl washington famili own oper success groceri store prior world war ii after bomb,positive
4,nisei femal born juli boyl height california at earli age went live famili friend father pas away,positive
5,sansei male born march torranc california grew lo angel area father sold insur activ lo angel koyasan,neutral
6,nisei femal born august tacoma washington rais seattl washington famili oper groceri store attend washington grammar school garfield,neutral
7,in session elain kim led panel elain reiko akagi friend ann fujii lindwal arlen oki karen yoshitomi bill tashima,neutral
8,nisei male born juli lindsay california follow bomb pearl harbor move famili idaho voluntari evacu,neutral
9,nisei male born june merc california grew mount eden california remov tanforan assembl center california,negative
10,nisei male born may eastport idaho spent childhood spokan washington in travel japan famili father becam,negative
11,nisei male born april oak grove oregon grew hood river oregon area parent ran farm dure world,neutral
12,nisei femal born januari bellevu washington grew bellevu remov pinedal assembl center tule lake concentr,negative
13,nisei male born may dure world war ii serv interpret militari intellig servic,neutral
14,nisei male born juli dure world war ii serv militari intellig servic,neutral
15,nisei male born septemb seattl washington spent prewar childhood seattl nihonmachi incarcer puyallup assembl center washington minidoka concentr camp,negative
16,nisei male born januari seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resist draft,negative
17,femal suquamish filipino descent born januari grew squamish reserv near vancouv british columbia canada move bainbridg island,positive
18,nisei femal born januari portland oregon grew portland parent ran hotel dure world war ii remov,neutral
19,white male born novemb seattl washington son reverend emeri andrew japanes baptist church minist seattl mani year after,neutral
20,white femal born june seattl washington grew central district seattl mother ran board hous discus,neutral
21,nisei male born januari kealakekua hawaii father congreg preacher dure world war ii serv th battalion,neutral
22,sansei femal born octob san francisco california dure world war ii remov granada amach concentr camp colorado famili briefli left,neutral
23,nisei male born juli saratoga california grew saratoga father work garden larg estat after,neutral
24,nisei femal born decemb lo angel california grew gardena parent ran chicken farm after bomb pearl,negative
25,nisei male dure world war ii serv i compani part nd regiment combat team alljapanes american fight unit one,neutral
26,japanes femal born novemb shizuoka japan attend school world war ii after war enter nurs profess becam involv,neutral
27,nisei femal born march boyl height neighborhood lo angel california dure world war ii remov santa anita assembl,neutral
28,nisei male born june portland oregon grew portland parent ran hotel groceri busi wa draft,neutral
29,nisei femal born march vashon island washington rais vashon island de moin washington remov two child,neutral
30,brent seto bill tashima interview sarah e baker baker fourtim chapter presid twotim nation jacl vicepresid local activist,neutral
31,male japanes frenchirish descent born octob lo angel california a child resid child home societi orphanag,neutral
32,elain kim bill tashima interview kathryn bannai kathryn bannai lead counsel gordon hirabayashi coram nobi case februari among,neutral
33,sansei femal born lo angel california grew gardena california surround larg japanes american commun influenc father role,neutral
34,nisei male born juli delta colorado grew small mine farm town colorado utah arizona famili,negative
35,nisei femal born juli bedderavia california wa given adopt parent coupl could child,neutral
36,sansei male famili own linc tackl longtim japanes american busi seattl washington prior world war ii father becam owner togo,positive
37,nisei femal born octob lo angel california grew lo angel involv earli age tradit japanes,neutral
38,nisei femal born juli walnut grove california grew walnut grove after bomb pearl harbor remov famili,neutral
39,femal filipino american descent born seattl washington grew bainbridg island washington granddaught felix nart one,neutral
40,white male grew pasadena california parent flower grow busi provid flower santa anita racetrack fifti year,neutral
41,white male born may albani new york founder execut director american civil liberti union northern california,positive
42,elain kim joy misako st germain interview theo bickel theo introduct jacl intern nation jacl at jacl,positive
43,nisei femal born june seattl washington rais south park washington famili oper small produc farm attend cleveland high school,negative
44,nisei femal born august portland oregon lost father earli age mother sibl set famili farm,neutral
45,white male born februari seattl washington grew seattl father gene boyd work seattl park depart gene,neutral
46,born bethesda maryland dure redress movement work depart justic offic redress administr os establish identifi,neutral
47,male spanish irish descent born march santa monica california move salina california teenag enlist,neutral
48,nisei femal born februari grew california dure world war ii remov poston colorado river concentr camp arizona after,neutral
49,white male born grew bainbridg island washington join navi world war ii eventu return bainbridg,neutral
50,white femal born denver colorado father work bureau reclam time wwii broke famili live minidoka,positive
51,born washington dc dure redress movement work depart justic offic redress administr os establish identifi,neutral
52,nisei femal born januari lo angel california grew lo angel father ran success produc busi dure world war,positive
53,nisei male born septemb colusa california a child famili move stockton california parent own hotel wa attend,positive
54,camila nakashima bill tashima interview ryan chin ryan chin seattl jacl chapter presid also threetim nation jacl vicepresid,neutral
55,sansei femal born august berkeley california remov tanforan assembl center california topaz concentr camp utah famili resettl north platt,negative
56,nisei femal born may minidoka concentr camp idaho prior world war ii parent live hood river oregon after,positive
57,white male born may visalia california attend school sacramento california enrol univers southern california involv,neutral
58,sansei femal grew know littl parent world war ii incarcer experi,neutral
59,born atlanta georgia dure redress movement work depart justic offic redress administr os establish identifi,neutral
60,kibei male born decemb sacramento california grew sacramento parent ran hotel in travel japan father,neutral
61,nisei femal born septemb san francisco california grew japantown area san francisco dure world war ii remov,neutral
62,white male born decemb new york citi new york charl phelp taft professor emeritu histori univers cincinnati serv,positive
63,white femal born novemb seattl washington parent chiropractor support japanes american around time world war ii,neutral
64,alison fujimoto joy st germain interview chapter presid janic deguchi dure tenur third gener sansei deguchi one youngest chapter,positive
